nom_ree;ear_data;ear_max_ree;ear_verif_ree_mwmes;ear_verif_ree_percentual
PARANAPANEMA;2023-09-23;11832.754;9024.506;76.2672
SUDESTE;2023-09-23;50972.214;36780.55;72.158
SUL;2023-09-23;10134.571;9108.089;89.8715
TELES PIRES;2023-09-23;900.655;483.508;53.684
BELO MONTE;2023-09-24;28.109;16.498;58.6929
IGUACU;2023-09-24;10324.672;9410.428;91.1451
MADEIRA;2023-09-24;313.73;109.343;34.8526
MANAUS-AMAPA;2023-09-24;785.737;456.372;58.082
NORDESTE;2023-09-24;51691.226;35367.018;68.4198
NORTE;2023-09-24;14488.55;11152.031;76.9713
PARANA;2023-09-24;140595.976;105188.97;74.8165
PARANAPANEMA;2023-09-24;11832.754;8999.02;76.0518
SUDESTE;2023-09-24;50972.214;36683.161;71.967
SUL;2023-09-24;10134.571;9128.281;90.0707
TELES PIRES;2023-09-24;900.655;477.982;53.0705
BELO MONTE;2023-09-25;28.109;16.24;57.7751
IGUACU;2023-09-25;10324.672;9311.504;90.1869
MADEIRA;2023-09-25;313.73;105.594;33.6576
MANAUS-AMAPA;2023-09-25;785.737;451.695;57.4868
NORDESTE;2023-09-25;51691.226;35241.564;68.1771
