dat_iniciosemana;dat_fimsemana;ano_referencia;mes_referencia;num_revisao;nom_semanaoperativa;cod_modelos;id_subsistema;nom_subsistema;nom_usina;val_cvu
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;106;NE;NORDESTE;ERB CANDEI;103.47
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;147;NE;NORDESTE;PROSPERIDA;195.14
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;96;NE;NORDESTE;TERMOPE;237.88
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;42;NE;NORDESTE;FORTALEZA;277.36
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;224;NE;NORDESTE;PSERGIPE I;355.91
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;43;NE;NORDESTE;C.FURTADO;374.87
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;83;NE;NORDESTE;JS_PEREIRA;450.86
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;58;NE;NORDESTE;TERMOCEARA;481.58
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;221;NE;NORDESTE;SYKUE I;510.12
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;163;NE;NORDESTE;P.PECEM2;663.04
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;167;NE;NORDESTE;P.PECEM1;675.41
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;98;NE;NORDESTE;PERNAMBU_3;833.21
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;57;NE;NORDESTE;MARACANAU;941.69
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;152;NE;NORDESTE;TERMOCABO;958.43
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;69;NE;NORDESTE;TERMOPB;963.41
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;67;NE;NORDESTE;TERMONE;963.41
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;52;NE;NORDESTE;CAMPINA_GR;970.27
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;170;NE;NORDESTE;SUAPE II;987.09
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;53;NE;NORDESTE;GLOBAL I;1099.83
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;55;NE;NORDESTE;GLOBAL II;1099.83
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;112;NE;NORDESTE;BAHIA_1;1258.49
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;166;NE;NORDESTE;AREMBEPE;1849.77
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;164;NE;NORDESTE;MURICY;1849.77
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;144;NE;NORDESTE;PETROLINA;2029.45
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;161;NE;NORDESTE;POTIGUAR_3;3020.76
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;151;NE;NORDESTE;POTIGUAR;3020.80
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;159;NE;NORDESTE;TERMOMANAU;3372.52
