nomecurto;ear_data;ear_max_bacia;ear_verif_bacia_mwmes;ear_verif_bacia_percentual
PARAGUACU;2022-06-30;335.38299560546875;287.5840148925781;85.7479019165039
PARAGUAI;2022-06-30;555.7979736328125;455.48199462890625;81.95099639892578
PARAIBA DO SUL;2022-06-30;7554.89697265625;3679.376953125;48.701900482177734
PARANA;2022-06-30;3691.574951171875;2195.9208984375;59.48469924926758
PARANAIBA;2022-06-30;78500.9453125;48262.55859375;61.480201721191406
PARANAPANEMA;2022-06-30;12094.4912109375;7156.01513671875;59.167598724365234
PARNAIBA;2022-06-30;264.1780090332031;253.11399841308594;95.81189727783203
SAO FRANCISCO;2022-06-30;52727.2109375;47832.80859375;90.71749877929688
TIETE;2022-06-30;9725.24609375;7204.94580078125;74.08499908447266
TOCANTINS;2022-06-30;49880.60546875;36383.5390625;72.94129943847656
URUGUAI;2022-06-30;5928.34814453125;5935.39111328125;100.1187973022461
AMAZONAS;2022-07-01;2028.23095703125;1640.958984375;80.90589904785156
CAPIVARI;2022-07-01;374.95599365234375;232.41299438476562;61.984100341796875
DOCE;2022-07-01;12.89900016784668;9.357000350952148;72.54049682617188
GRANDE;2022-07-01;51476.95703125;38036.88671875;73.89109802246094
IGUACU;2022-07-01;10062.9345703125;9428.7548828125;93.6978988647461
JACUI;2022-07-01;3029.35400390625;2723.714111328125;89.91069793701172
JEQUITINHONHA;2022-07-01;2967.7880859375;2540.363037109375;85.597900390625
PARAGUACU;2022-07-01;335.38299560546875;287.135986328125;85.6144027709961
PARAGUAI;2022-07-01;555.7979736328125;454.37200927734375;81.75129699707031
PARAIBA DO SUL;2022-07-01;7554.89697265625;3663.320068359375;48.48929977416992
PARANA;2022-07-01;3691.574951171875;2218.4990234375;60.09629821777344
PARANAIBA;2022-07-01;78500.9453125;48191.37109375;61.38949966430664
PARANAPANEMA;2022-07-01;12094.4912109375;7161.4169921875;59.21220016479492
PARNAIBA;2022-07-01;264.1780090332031;252.07200622558594;95.4175033569336
SAO FRANCISCO;2022-07-01;52727.2109375;47750.85546875;90.56210327148438
TIETE;2022-07-01;9725.24609375;7188.48388671875;73.91570281982422
TOCANTINS;2022-07-01;49880.60546875;36354.16796875;72.88240051269531
URUGUAI;2022-07-01;5928.34814453125;5951.208984375;100.3855972290039
AMAZONAS;2022-07-02;2028.23095703125;1646.39794921875;81.17410278320312
CAPIVARI;2022-07-02;374.95599365234375;233.27999877929688;62.215301513671875
DOCE;2022-07-02;12.89900016784668;9.314000129699707;72.20709991455078
GRANDE;2022-07-02;51476.95703125;38065.98046875;73.94760131835938
IGUACU;2022-07-02;10062.9345703125;9367.5771484375;93.08989715576172
JACUI;2022-07-02;3029.35400390625;2715.114990234375;89.62689971923828
JEQUITINHONHA;2022-07-02;2967.7880859375;2537.860107421875;85.51349639892578
PARAGUACU;2022-07-02;335.38299560546875;286.68798828125;85.48079681396484
PARAGUAI;2022-07-02;555.7979736328125;453.43798828125;81.58319854736328
PARAIBA DO SUL;2022-07-02;7554.89697265625;3650.43994140625;48.31890106201172
PARANA;2022-07-02;3691.574951171875;2233.676025390625;60.50740051269531
PARANAIBA;2022-07-02;78500.9453125;48193.41796875;61.3921012878418
PARANAPANEMA;2022-07-02;12094.4912109375;7165.3759765625;59.244998931884766
PARNAIBA;2022-07-02;264.1780090332031;252.07200622558594;95.4175033569336
SAO FRANCISCO;2022-07-02;52727.2109375;47673.75;90.41580200195312
TIETE;2022-07-02;9725.24609375;7206.69921875;74.10299682617188
TOCANTINS;2022-07-02;49880.60546875;36333.87890625;72.8416976928711
URUGUAI;2022-07-02;5928.34814453125;5954.6162109375;100.44309997558594
AMAZONAS;2022-07-03;2028.23095703125;1653.2110595703125;81.51000213623047
CAPIVARI;2022-07-03;374.95599365234375;235.0500030517578;62.687400817871094
DOCE;2022-07-03;12.89900016784668;9.28600025177002;71.99009704589844
GRANDE;2022-07-03;51476.95703125;38056.23828125;73.92870330810547
IGUACU;2022-07-03;10062.9345703125;9375.9365234375;93.1729965209961
JACUI;2022-07-03;3029.35400390625;2723.5400390625;89.90499877929688
JEQUITINHONHA;2022-07-03;2967.7880859375;2535.044921875;85.418701171875
PARAGUACU;2022-07-03;335.38299560546875;286.239013671875;85.3469009399414
PARAGUAI;2022-07-03;555.7979736328125;452.3299865722656;81.38390350341797
PARAIBA DO SUL;2022-07-03;7554.89697265625;3635.280029296875;48.11819839477539
PARANA;2022-07-03;3691.574951171875;2233.676025390625;60.50740051269531
PARANAIBA;2022-07-03;78500.9453125;48174.140625;61.36759948730469
PARANAPANEMA;2022-07-03;12094.4912109375;7180.994140625;59.37409973144531
PARNAIBA;2022-07-03;264.1780090332031;252.07200622558594;95.4175033569336
SAO FRANCISCO;2022-07-03;52727.2109375;47611.82421875;90.29840087890625
TIETE;2022-07-03;9725.24609375;7219.9189453125;74.23889923095703
TOCANTINS;2022-07-03;49880.60546875;36341.64453125;72.8572998046875
URUGUAI;2022-07-03;5928.34814453125;5941.791015625;100.22679901123047
AMAZONAS;2022-07-04;2028.23095703125;1652.89501953125;81.49440002441406
CAPIVARI;2022-07-04;374.95599365234375;232.82699584960938;62.09450149536133
DOCE;2022-07-04;12.89900016784668;9.241999626159668;71.64900207519531
GRANDE;2022-07-04;51476.95703125;37891.97265625;73.6095962524414
IGUACU;2022-07-04;10062.9345703125;9300.181640625;92.42019653320312
JACUI;2022-07-04;3029.35400390625;2724.339111328125;89.931396484375
JEQUITINHONHA;2022-07-04;2967.7880859375;2533.1689453125;85.35549926757812
PARAGUACU;2022-07-04;335.38299560546875;285.3429870605469;85.07969665527344
PARAGUAI;2022-07-04;555.7979736328125;451.3380126953125;81.20539855957031
PARAIBA DO SUL;2022-07-04;7554.89697265625;3619.679931640625;47.91170120239258
PARANA;2022-07-04;3691.574951171875;2211.095947265625;59.89569854736328
PARANAIBA;2022-07-04;78500.9453125;48109.734375;61.285499572753906
PARANAPANEMA;2022-07-04;12094.4912109375;7176.2548828125;59.33489990234375
PARNAIBA;2022-07-04;264.1780090332031;250.88999938964844;94.97010040283203
SAO FRANCISCO;2022-07-04;52727.2109375;47534.6171875;90.1520004272461
TIETE;2022-07-04;9725.24609375;7232.52392578125;74.36849975585938
TOCANTINS;2022-07-04;49880.60546875;36297.23828125;72.76820373535156
URUGUAI;2022-07-04;5928.34814453125;5929.841796875;100.02519989013672
AMAZONAS;2022-07-05;2028.23095703125;1650.9630126953125;81.39920043945312
