nom_reservatorioee;ena_data;ena_bruta_ree_mwmed;ena_bruta_ree_percentualmlt;ena_armazenavel_ree_mwmed;ena_armazenavel_ree_percentualmlt
MADEIRA;2023-01-20;5757.874;70.3298;4262.359;52.0628
MANAUS-AMAPA;2023-01-20;980.742;197.7098;729.387;147.0386
NORDESTE;2023-01-20;13965.526000000002;103.9836;9148.154;68.1147
NORTE;2023-01-20;11400.21;121.0557;8707.538;92.4629
PARANA;2023-01-20;54442.857244000006;147.8692;45628.90704399999;123.9301
PARANAPANEMA;2023-01-20;2736.57552;75.1777;933.2051199999999;25.6365
SUDESTE;2023-01-20;10684.001;104.2759;9164.798;89.4485
SUL;2023-01-20;4442.654;128.4338;4003.6240000000003;115.7418
TELES PIRES;2023-01-20;3313.378;99.6063;2605.753;78.3337
BELO MONTE;2023-01-21;8865.103000000001;158.1569;8721.938;155.6028
IGUACU;2023-01-21;5488.8060000000005;132.556;1323.684;31.9673
ITAIPU;2023-01-21;3586.0043960000003;105.9174;1143.834796;33.7847
MADEIRA;2023-01-21;5840.492;71.3389;4346.263999999999;53.0876
MANAUS-AMAPA;2023-01-21;1184.858;238.8579;772.219;155.6732
NORDESTE;2023-01-21;14526.037;108.1571;9553.359999999999;71.1318
NORTE;2023-01-21;11330.238;120.3127;8515.819;90.4271
PARANA;2023-01-21;53935.409936000004;146.491;45953.62113600001;124.8121
PARANAPANEMA;2023-01-21;2665.014668;73.2118;222.54806799999983;6.1137
SUDESTE;2023-01-21;10519.015999999998;102.6656;8601.710000000001;83.9527
SUL;2023-01-21;4227.3150000000005;122.2085;3522.6629999999996;101.8376
TELES PIRES;2023-01-21;3398.2670000000003;102.1582;2721.104;81.8014
BELO MONTE;2023-01-22;8866.203;158.1765;8679.780999999999;154.8507
IGUACU;2023-01-22;5614.889999999999;135.601;2627.7329999999997;63.4604
ITAIPU;2023-01-22;3632.9628919999996;107.3043;-891.8119080000001;-26.3408
MADEIRA;2023-01-22;5863.8189999999995;71.6239;4073.9030000000002;49.7609
MANAUS-AMAPA;2023-01-22;1350.0549999999998;272.1603;714.928;144.1238
NORDESTE;2023-01-22;15112.565999999999;112.5242;10001.49;74.4685
NORTE;2023-01-22;11188.777;118.8105;8280.252;87.9257
PARANA;2023-01-22;53554.25753199999;145.4558;47445.407132;128.8638
PARANAPANEMA;2023-01-22;2766.8935759999995;76.0105;-1758.771224;-48.316
SUDESTE;2023-01-22;10852.651;105.9219;8005.622;78.1349
SUL;2023-01-22;3809.609;110.133;3086.9979999999996;89.2428
TELES PIRES;2023-01-22;3388.3489999999997;101.86;2500.174;75.1598
BELO MONTE;2023-01-23;8866.077;158.1743;8668.15;154.6432
IGUACU;2023-01-23;5551.924;134.0804;5401.4400000000005;130.4461
ITAIPU;2023-01-23;3947.0849080000003;116.5824;-640.1782919999998;-18.9085
MADEIRA;2023-01-23;5865.285999999999;71.6418;5206.804;63.5987
MANAUS-AMAPA;2023-01-23;1389.831;280.1788;849.081;171.168
NORDESTE;2023-01-23;15813.616;117.744;11424.936;85.0671
NORTE;2023-01-23;11121.030999999999;118.0912;8216.093;87.2444
PARANA;2023-01-23;53193.976892000006;144.4772;46962.002292;127.5509
PARANAPANEMA;2023-01-23;2752.8952;75.626;-1837.334;-50.4742
SUDESTE;2023-01-23;11141.766000000001;108.7437;8314.546;81.15
SUL;2023-01-23;3496.917;101.0933;3002.056;86.7872
TELES PIRES;2023-01-23;3269.953;98.3008;2662.584;80.0422
BELO MONTE;2023-01-24;8900.793;158.7936;8732.63;155.7935
IGUACU;2023-01-24;5411.227;130.6825;5389.19;130.1503
ITAIPU;2023-01-24;3868.1548879999996;114.251;-262.2259120000005;-7.7452
MADEIRA;2023-01-24;5884.134;71.872;4667.838000000001;57.0155
MANAUS-AMAPA;2023-01-24;1385.851;279.3765;869.7949999999998;175.3437
NORDESTE;2023-01-24;16351.321;121.7476;11924.164999999999;88.7842
NORTE;2023-01-24;11055.979;117.4004;8626.213;91.5994
PARANA;2023-01-24;52986.28844399999;143.9131;46221.27304399999;125.539
PARANAPANEMA;2023-01-24;2637.261668;72.4494;-1495.4961319999995;-41.0834
SUDESTE;2023-01-24;11481.990000000002;112.0642;8748.967;85.3899
SUL;2023-01-24;3476.679;100.5082;3174.681;91.7777
TELES PIRES;2023-01-24;3137.918;94.3316;2464.524;74.0881
BELO MONTE;2023-01-25;8915.574999999999;159.0573;8763.921;156.3518
IGUACU;2023-01-25;5256.134;126.937;5256.134;126.937
ITAIPU;2023-01-25;3873.1949360000003;114.3999;297.01453600000053;8.7727
MADEIRA;2023-01-25;5920.413;72.3151;4544.554999999999;55.5097
MANAUS-AMAPA;2023-01-25;1357.7759999999998;273.7168;865.9959999999999;174.5779
NORDESTE;2023-01-25;16749.609;124.7132;12463.817;92.8023
NORTE;2023-01-25;11020.528999999999;117.024;8462.896999999999;89.8652
PARANA;2023-01-25;52459.35029600001;142.4819;45312.50309600001;123.0708
PARANAPANEMA;2023-01-25;2598.851768;71.3942;-977.7756319999994;-26.8609
SUDESTE;2023-01-25;11561.43;112.8396;8139.817;79.4446
SUL;2023-01-25;3376.67;97.617;3168.4210000000007;91.5967
TELES PIRES;2023-01-25;3033.268;91.1856;2340.7189999999996;70.3663
BELO MONTE;2023-01-26;8879.004;158.4049;8740.997000000001;155.9428
IGUACU;2023-01-26;5090.335;122.9329;4921.193000000001;118.8481
ITAIPU;2023-01-26;3757.5094440000003;110.983;534.7470440000002;15.7945
MADEIRA;2023-01-26;5943.901;72.602;5044.933;61.6215
MANAUS-AMAPA;2023-01-26;1297.5639999999999;261.5786;817.9320000000001;164.8886
NORDESTE;2023-01-26;16832.924;125.3335;12868.332;95.8142
NORTE;2023-01-26;10906.136;115.8092;8482.067000000001;90.0687
PARANA;2023-01-26;51410.873076;139.6342;44383.067876;120.5464
PARANAPANEMA;2023-01-26;2555.18148;70.1945;-677.2539200000001;-18.6051
SUDESTE;2023-01-26;11980.703000000001;116.9317;9039.05;88.2211
SUL;2023-01-26;3176.313;91.8249;3017.773;87.2416
TELES PIRES;2023-01-26;3061.8559999999998;92.045;2691.622;80.9151
BELO MONTE;2023-01-27;8984.521999999999;160.2874;8821.453;157.3782
IGUACU;2023-01-27;4849.696;117.1214;4608.570000000001;111.2981
ITAIPU;2023-01-27;3540.8386;104.5833;829.2518;24.493
MADEIRA;2023-01-27;5968.344999999999;72.9006;4862.566;59.394
MANAUS-AMAPA;2023-01-27;1159.627;233.7716;789.857;159.2289
NORDESTE;2023-01-27;16793.318;125.0386;12652.303;94.2057
NORTE;2023-01-27;10847.786;115.1896;8224.743999999999;87.3363
PARANA;2023-01-27;50322.85562400002;136.6791;43753.67322400001;118.8369
PARANAPANEMA;2023-01-27;2439.6967759999998;67.022;-273.73102400000016;-7.5198
SUDESTE;2023-01-27;12493.874000000002;121.9402;8790.735000000002;85.7976
SUL;2023-01-27;2881.159;83.2922;2746.478;79.3986
TELES PIRES;2023-01-27;3108.6600000000003;93.4521;2413.748;72.5617
BELO MONTE;2023-01-28;9081.957;162.0256;8910.846000000001;158.973
IGUACU;2023-01-28;4602.090999999999;111.1417;4241.858;102.4419
ITAIPU;2023-01-28;3362.418852;99.3135;-571.277148;-16.8734
MADEIRA;2023-01-28;5968.177000000001;72.8985;4108.924;50.1886
MANAUS-AMAPA;2023-01-28;986.055;198.7808;653.4390000000001;131.7281
NORDESTE;2023-01-28;16776.75;124.9153;11544.942;85.9606
NORTE;2023-01-28;10828.469000000001;114.9845;7938.723;84.2991
PARANA;2023-01-28;49232.688108000024;133.7182;43783.45410800001;118.9178
PARANAPANEMA;2023-01-28;2287.36204;62.8371;-1651.6309600000002;-45.3727
SUDESTE;2023-01-28;12771.391;124.6488;9019.597;88.0313
SUL;2023-01-28;2538.8979999999997;73.3977;2439.079;70.512
TELES PIRES;2023-01-28;3204.762;96.3411;2063.587;62.0352
BELO MONTE;2023-01-29;9084.273000000001;162.067;8907.021999999999;158.9047
IGUACU;2023-01-29;4354.649;105.1659;3568.0009999999997;86.1681
ITAIPU;2023-01-29;3225.7536480000003;95.2769;-2353.1287519999996;-69.5028
MADEIRA;2023-01-29;5974.645;72.9776;3822.1900000000005;46.6863
MANAUS-AMAPA;2023-01-29;836.2869999999999;168.5888;601.682;121.2943
NORDESTE;2023-01-29;16652.95;123.9935;10872.549;80.9541
NORTE;2023-01-29;10828.321;114.983;7950.3910000000005;84.423
PARANA;2023-01-29;48314.97416799999;131.2256;45342.98196800001;123.1536
PARANAPANEMA;2023-01-29;2146.286184;58.9616;-3432.596216;-94.2984
SUDESTE;2023-01-29;12608.037999999999;123.0545;8834.094;86.2208
SUL;2023-01-29;2331.8069999999993;67.4108;2133.643;61.682
TELES PIRES;2023-01-29;3302.191;99.27;1670.304;50.2124
BELO MONTE;2023-01-30;9111.716999999999;162.5566;8923.614;159.2007
IGUACU;2023-01-30;4176.503;100.8636;2602.63;62.8542
ITAIPU;2023-01-30;3143.1357879999996;92.8367;-574.4118120000005;-16.966
MADEIRA;2023-01-30;5984.592;73.0991;4046.373;49.4246
MANAUS-AMAPA;2023-01-30;734.19;148.0068;566.611;114.2243
NORDESTE;2023-01-30;16547.489999999998;123.2083;11560.582;86.0771
NORTE;2023-01-30;10886.913;115.6051;7878.796;83.6628
PARANA;2023-01-30;47702.74556800001;129.5628;44206.113767999996;120.0658
PARANAPANEMA;2023-01-30;2128.312644;58.4678;-1591.4909559999999;-43.7205
SUDESTE;2023-01-30;11788.822;115.0589;8837.357000000002;86.2526
SUL;2023-01-30;2573.8720000000003;74.4087;2391.832;69.1461
TELES PIRES;2023-01-30;3396.358;102.1008;2074.114;62.3517
BELO MONTE;2023-01-31;9137.538;163.0172;8936.065999999999;159.4229
IGUACU;2023-01-31;4109.8240000000005;99.2533;4018.5400000000004;97.0488
ITAIPU;2023-01-31;3321.299436;98.099;247.07503600000004;7.2977
MADEIRA;2023-01-31;6013.541999999999;73.4527;4251.664000000001;51.9321
MANAUS-AMAPA;2023-01-31;691.37;139.3747;554.1160000000001;111.7054
NORDESTE;2023-01-31;16456.329999999998;122.5295;10834.953;80.6742
NORTE;2023-01-31;10977.547999999999;116.5676;8111.856;86.1376
