id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
NE;Nordeste;2007-10-31;7540.22711022
S;Sul;2007-10-31;8143.15929570
SE;Sudeste/Centro-Oeste;2007-10-31;31967.14805108
N;Norte;2007-11-30;3533.28680556
NE;Nordeste;2007-11-30;7695.36644444
S;Sul;2007-11-30;8097.93776389
SE;Sudeste/Centro-Oeste;2007-11-30;31251.06023611
N;Norte;2007-12-31;3495.22405914
NE;Nordeste;2007-12-31;7494.32387097
S;Sul;2007-12-31;8353.20455645
SE;Sudeste/Centro-Oeste;2007-12-31;31206.31552419
N;Norte;2008-01-31;3467.76498656
NE;Nordeste;2008-01-31;7463.33828763
S;Sul;2008-01-31;8754.51552419
SE;Sudeste/Centro-Oeste;2008-01-31;31190.80647043
N;Norte;2008-02-29;3533.27283190
NE;Nordeste;2008-02-29;7497.81776437
S;Sul;2008-02-29;9004.06011494
SE;Sudeste/Centro-Oeste;2008-02-29;31503.22244971
N;Norte;2008-03-31;3556.94329301
NE;Nordeste;2008-03-31;7385.14950269
S;Sul;2008-03-31;8769.57395161
SE;Sudeste/Centro-Oeste;2008-03-31;32245.93611559
N;Norte;2008-04-30;3605.88281944
NE;Nordeste;2008-04-30;7473.69166667
S;Sul;2008-04-30;8537.26197222
SE;Sudeste/Centro-Oeste;2008-04-30;32252.52808333
N;Norte;2008-05-31;3641.96294355
NE;Nordeste;2008-05-31;7466.56900538
S;Sul;2008-05-31;8008.60774597
SE;Sudeste/Centro-Oeste;2008-05-31;30832.63399194
N;Norte;2008-06-30;3633.81137500
NE;Nordeste;2008-06-30;7227.84879167
S;Sul;2008-06-30;8278.49803333
SE;Sudeste/Centro-Oeste;2008-06-30;31221.21134722
N;Norte;2008-07-31;3624.53110215
NE;Nordeste;2008-07-31;7160.85661290
S;Sul;2008-07-31;8373.80671909
SE;Sudeste/Centro-Oeste;2008-07-31;31335.82005376
N;Norte;2008-08-31;3693.58685484
NE;Nordeste;2008-08-31;7373.48129032
S;Sul;2008-08-31;8239.52883602
SE;Sudeste/Centro-Oeste;2008-08-31;32320.35213710
N;Norte;2008-09-30;3741.49261111
NE;Nordeste;2008-09-30;7661.38690278
S;Sul;2008-09-30;8239.57788889
SE;Sudeste/Centro-Oeste;2008-09-30;32087.30625000
N;Norte;2008-10-31;3744.64068145
NE;Nordeste;2008-10-31;7806.03680780
S;Sul;2008-10-31;8333.54767473
SE;Sudeste/Centro-Oeste;2008-10-31;32914.44456720
N;Norte;2008-11-30;3692.19043056
NE;Nordeste;2008-11-30;7835.02543333
S;Sul;2008-11-30;8352.76387500
SE;Sudeste/Centro-Oeste;2008-11-30;30936.54510833
N;Norte;2008-12-31;3619.02916667
NE;Nordeste;2008-12-31;7353.98135753
S;Sul;2008-12-31;8248.51172043
SE;Sudeste/Centro-Oeste;2008-12-31;28845.63350806
N;Norte;2009-01-31;3569.12939516
NE;Nordeste;2009-01-31;7294.52623656
S;Sul;2009-01-31;8344.88953086
SE;Sudeste/Centro-Oeste;2009-01-31;29582.48946237
N;Norte;2009-02-28;3483.24534226
